,RMSE,MAE,MAPE (%)
Baseline,39465.026096743764,32400.15,16.22593050200117
Linear_Reg,34554.17711140822,31062.5725115904,15.30853336795831
ARIMA,17007.9397622706,13642.389539448837,6.988903673982179
